time,Sum_steel_stock,Sum_conc_stock,Sum_engwood_stock,Sum_dimlum_stock,Sum_masonry_stock
2017,565.678744782676,3979.4812133517253,713.1040421661063,1616.1587239230626,2363.0342512746215
2018,581.6920368678382,4114.996157529796,727.2909526436226,1654.4941110989978,2389.3496293121534
2019,597.3153769494336,4247.819032768602,741.247210499212,1691.986982167609,2414.765966462295
2020,612.8141730697191,4377.926262273728,754.9194421046418,1728.6447090303154,2439.283558740397
2021,627.8900865851659,4505.345391147756,768.2023508094046,1764.477249538027,2462.904267271496
2022,642.6557737551952,4631.123368200784,781.2196218634053,1799.5199982440695,2485.6502464501195
2023,657.1591816094389,4754.8782273228735,794.006206380885,1833.8136221938728,2507.547051734568
2024,671.4157623888858,4876.694463593182,806.59189274764,1867.397134340206,2528.6176817391724
2025,685.4549679031347,4995.914360140257,819.0090636511827,1900.3079159863819,2548.8823224225985
2026,699.2874355487536,5114.063520345894,831.2899454981917,1932.5731348717293,2568.3509734279423
2027,712.923547340877,5231.1996051889,843.4569466609314,1964.1839928277561,2587.0020328091314
2028,726.3656521354112,5346.7894683278955,855.5677805648056,1995.1209713222013,2604.8028048592355
2029,739.616920831045,5460.87418354412,867.5811053061402,2025.3620968907062,2621.7159342326026
2030,752.6849831286409,5574.283396852344,879.5640672405035,2054.8826938192274,2637.6988216598
2031,765.589083613405,5685.995712597452,891.5597463438851,2083.665376360117,2652.711300666582
2032,778.3327242321019,5795.820617994987,903.6357747678642,2111.7305785143053,2666.7395534598354
2033,790.9538272778366,5905.780738634951,915.873105209275,2139.1056802478315,2679.770249040133
2034,803.4723961059542,6015.301681171314,928.3626529942669,2165.814407542912,2691.781407334558
2035,816.0234422101452,6124.630679557486,941.2059879724872,2191.876509042741,2702.7417108734826
2036,828.361402301076,6234.349568944134,954.5105634179836,2217.2972455409026,2712.602188396856
2037,840.6798961074059,6344.3816768666375,968.3327054404268,2242.0367962210003,2721.273607202995
2038,853.052955223086,6455.000176045078,982.848583973056,2266.042436756255,2728.6533454852233
2039,865.4977769040006,6566.240620699314,998.1190720582422,2289.2603140184947,2734.6363491759366
2040,877.9983674500992,6678.4212709803,1014.2433609368875,2311.6373592760474,2739.119029087349
2041,890.7861208894092,6790.75656190855,1031.31137138604,2333.117766227757,2742.0000024776164
2042,903.7189875931389,6904.091632512117,1049.2038824559056,2353.6286425124667,2743.1746659991495
2043,916.7840281149369,7019.445420912926,1068.0989502060895,2373.101291190933,2742.5549808446344
2044,929.6286313338861,7135.039015059654,1088.2149657947223,2391.4797156058535,2740.0789451224564
2045,942.6600869848619,7251.784496030681,1109.4157432160714,2408.72244678275,2735.71436286138
2046,955.5711171836261,7367.572239250745,1131.6417703776194,2424.8246609816038,2729.472450963906
2047,968.4339217269693,7484.73692677322,1154.9165535489092,2439.879282287119,2721.437110950982
2048,981.3289764467207,7603.728147743476,1178.729681378608,2454.0084576344516,2711.7185833598396
2049,994.2206329247172,7723.606937436104,1203.9201867933277,2467.340300885725,2700.437402101561
2050,1007.2945841505298,7847.050527408372,1230.4896715571929,2480.007009491046,2687.7205588813567
2051,1021.473310584351,7970.561537702811,1257.7140344112106,2492.1303235262058,2673.692388956373
2052,1035.0498983558414,8097.871848020881,1286.319814499288,2503.7829116826183,2658.4579270619556
2053,1049.1177271149088,8226.613845036476,1316.1295010679382,2515.025864501753,2642.1186088067384
2054,1063.2856660919113,8358.543299143092,1346.713264937826,2525.9197100781266,2624.774321343764
2055,1077.755964246164,8492.420406731939,1377.7489175832634,2536.5230841070093,2606.520701963065
2056,1092.7235156230317,8626.79389602352,1410.1362762584545,2546.8899755243956,2587.44673064018
2057,1107.4276667061424,8763.306542636177,1443.3939874806315,2557.0636496527923,2567.6321128172904
2058,1122.1899865041653,8903.354418202935,1477.1004888534826,2567.0818886601633,2547.1487475144295
2059,1137.6321515038705,9045.726067181698,1510.7819853498916,2576.978747749565,2526.0612354058476
2060,1153.0468227674035,9188.439133550675,1545.943134302767,2586.7846259546436,2504.4271291529153
2061,1168.6402415212226,9334.455721034972,1581.6624003871623,2596.514008717393,2482.294148761065
2062,1184.2379274126627,9481.698586505247,1616.3516185932892,2606.1285292154635,2459.691553436061
2063,1200.1322788074651,9629.090109687255,1651.764547511821,2615.5745041776377,2436.641088854879
2064,1215.9308232169417,9775.543286687707,1686.6547355581365,2624.7955061587504,2413.160600064441
2065,1231.510394034129,9921.048113421208,1721.9910874012312,2633.7325531117044,2389.2643838974354
2066,1247.188755758506,10067.847103493787,1757.3535746732764,2642.3358316447216,2364.9663593119685
2067,1262.9071325755485,10214.897289312918,1792.9190775037323,2650.59952804269,2340.2886285485506
2068,1278.350916951129,10359.484737611372,1829.1292122292734,2658.527681670997,2315.253414913105
2069,1293.722943609924,10503.434571524384,1865.4998863012254,2666.1229304858216,2289.8807871682907
2070,1308.925555301657,10647.493949898935,1901.8951875851806,2673.386708678208,2264.189111107952
2071,1323.7817050178892,10788.27764308911,1938.1936774568276,2680.329336694077,2238.197744523495
2072,1339.0250196379645,10931.382166669597,1974.247789806499,2687.0000217529177,2211.934252502132
2073,1353.3508915282416,11073.744439323687,2009.619103638608,2693.4573674281787,2185.4277339826012
2074,1368.2707799946897,11216.154509945403,2045.452278489441,2699.759535102648,2158.706776277685
2075,1383.6191743012023,11356.451320326614,2080.3567986164994,2705.9642662911197,2131.799667384543
2076,1398.8061601583722,11498.38985620268,2117.0628558574385,2712.110343068747,2104.7303056339842
2077,1414.0810271414482,11641.321663015988,2153.5136731989855,2718.1619274189093,2077.5055937953293
2078,1429.1796807700764,11784.08455801825,2188.7203146667925,2724.064142225725,2050.128348711482
2079,1444.7843910332488,11925.437747342581,2224.8831736362163,2729.7617245970846,2022.6016414200042
2080,1460.4856004159078,12065.880715771036,2261.0359099532266,2735.199155907024,1994.928865040629
2081,1475.1363973444368,12204.973048464655,2297.802387796679,2740.3340788399155,1967.1168279279766
2082,1489.3552347253533,12342.843071389121,2333.394863232782,2745.1773303994128,1939.1849067385683
2083,1504.13092258949,12479.63582864345,2369.88072513638,2749.7531777728846,1911.1559563946005
